categoria,titulo,preco,desconto,url,imagem
Lançamentos,,,,https://silvercrown.com.br/produtos/,
Lançamentos,Bracelete de Prata Redondo Fio 390 Abaulado,,,https://silvercrown.com.br/produtos/bracelete-de-prata-redondo-fio-390-abaulado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Lançamentos,Bracelete de Prata Redondo Fio 320 Quadrado,,,https://silvercrown.com.br/produtos/bracelete-de-prata-redondo-fio-320-quadrado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Lançamentos,Choker 13 Olho Grego Vermelho Mista,,,https://silvercrown.com.br/produtos/choker-13-olho-grego-vermelho-mista-e-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Lançamentos,Pulseira 4 Borboleta Roxa Mista de Prata,,,https://silvercrown.com.br/produtos/pulseira-4-borboleta-roxa-mista-e-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Lançamentos,Pulseira 4 Borboleta Lateral Roxa Mista de Prata,,,https://silvercrown.com.br/produtos/pulseira-4-borboleta-lateral-roxa-mista-e-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Lançamentos,Pulseira 4 Borboleta Multicolorido Mista de Prata,,,https://silvercrown.com.br/produtos/pulseira-4-borboleta-multicolorido-mista-e-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Lançamentos,Pulseira 13 Olho Grego Vermelho Mista,,,https://silvercrown.com.br/produtos/pulseira-13-olho-grego-vermelho-mista-e-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Lançamentos,Pulseira 5 Gota Cristal Pendurado de Prata,,,https://silvercrown.com.br/produtos/pulseira-5-gota-cristal-pendurado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Lançamentos,Pulseira 5 Quadrado Cristal Pendurado de Prata,,,https://silvercrown.com.br/produtos/pulseira-5-quadrado-cristal-pendurado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Anéis (Lançamentos),,,,https://silvercrown.com.br/produtos/,
Anéis (Lançamentos),"Anel Torcido Flor 9,5mm Liso de Prata",,,https://silvercrown.com.br/produtos/anel-torcido-flor-95mm-liso-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Anéis (Lançamentos),Anel Coração Vazado Abaulado 17mm Liso de Prata,,,https://silvercrown.com.br/produtos/anel-coracao-vazado-abaulado-17mm-liso-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Anéis (Lançamentos),Anel Solitário Quadrado Cravejado Cristal de Prata,,,https://silvercrown.com.br/produtos/anel-solitario-quadrado-cravejado-cristal-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Anéis (Lançamentos),Anel Solitário Coração e Adaga Vermelho Cravejado de Prata,,,https://silvercrown.com.br/produtos/anel-solitario-coracao-e-adaga-vermelho-cravejado-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Anéis (Lançamentos),Anel Solitário Cristal com Laço Cravejado Rosa de Prata,,,https://silvercrown.com.br/produtos/anel-solitario-cristal-com-laco-cravejado-rosa-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Anéis (Lançamentos),Anel Solitário Cristal com Laço Cravejado Vermelho de Prata,,,https://silvercrown.com.br/produtos/anel-solitario-cristal-com-laco-cravejado-vermelho-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
Anéis (Lançamentos),Anel Solitário com Laço Cravejado Cristal de Prata,,,https://silvercrown.com.br/produtos/anel-solitario-com-laco-cravejado-cristal-de-prata-925-atacado/,//acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png
